GameId,CompetitionID
2244388,SUC
2219794,BESC
2244389,SUC
2271112,DFB
2229332,DFL
2258406,POCP
2240525,NLP
2240524,NLP
2504433,NLP
2254419,CDR
2254425,CDR
2221759,DFB
2240246,PO1
2240245,PO1
2243038,ES1
2243028,ES1
2243027,ES1
2252846,POSU
2229916,BE1
2244655,FRCH
2224928,BE1
2243026,ES1
2242979,ES1
2243021,ES1
2254432,CDR
2245309,CGB
2245298,CGB
2245311,CGB
2245317,CGB
2245319,CGB
2245321,CGB
2225776,GB1
2225774,GB1
2242968,ES1
2225752,GB1
2225749,GB1
2225762,GB1
2225760,GB1
2243020,ES1
2225737,GB1
2225751,GB1
2225799,GB1
2225743,GB1
2225742,GB1
2243049,ES1
2225747,GB1
2225768,GB1
2225766,GB1
2225761,GB1
2225756,GB1
2225803,GB1
2225798,GB1
2225790,GB1
2225796,GB1
2225800,GB1
2225797,GB1
2242963,ES1
2225795,GB1
2225758,GB1
2225757,GB1
2225781,GB1
2225784,GB1
2225783,GB1
2225786,GB1
2225788,GB1
2225792,GB1
2225791,GB1
2225789,GB1
2243025,ES1
2225787,GB1
2225793,GB1
2225804,GB1
2225777,GB1
2225782,GB1
2225778,GB1
2225775,GB1
2225769,GB1
2225772,GB1
2225771,GB1
2225767,GB1
2225748,GB1
2225770,GB1
2225755,GB1
2225765,GB1
2225753,GB1
2225773,GB1
2225763,GB1
2225750,GB1
2225754,GB1
2225744,GB1
2225807,GB1
2225802,GB1
2225806,GB1
2225805,GB1
2245315,CGB
2225746,GB1
2225745,GB1
2225741,GB1
2225740,GB1
2225801,GB1
2225719,GB1
2225727,GB1
2225722,GB1
2225739,GB1
2225738,GB1
2225721,GB1
2225717,GB1
2225715,GB1
2225709,GB1
2225716,GB1
2225723,GB1
2225714,GB1
2225700,GB1
2225808,GB1
2225780,GB1
2225794,GB1
2225701,GB1
2225699,GB1
2225764,GB1
2225695,GB1
2225779,GB1
2225735,GB1
2225785,GB1
2225704,GB1
2225720,GB1
2225733,GB1
2225706,GB1
2225708,GB1
2225734,GB1
2225730,GB1
2225705,GB1
2225713,GB1
2225736,GB1
2225728,GB1
2225703,GB1
2225726,GB1
2225724,GB1
2225712,GB1
2225710,GB1
2225707,GB1
2225759,GB1
2250166,GB1
2225729,GB1
2250167,GB1
2225725,GB1
2225711,GB1
2225697,GB1
2225696,GB1
2250163,GB1
2250164,GB1
2225698,GB1
2250165,GB1
2250152,GB1
2225718,GB1
2250154,GB1
2250160,GB1
2250159,GB1
2250162,GB1
2250156,GB1
2250161,GB1
2250145,GB1
2250149,GB1
2250144,GB1
2250151,GB1
2250150,GB1
2225731,GB1
2225702,GB1
2250146,GB1
2250142,GB1
2250147,GB1
2250148,GB1
2258998,GB1
2258996,GB1
2259005,GB1
2259003,GB1
2258997,GB1
2259002,GB1
2259001,GB1
2259000,GB1
2258999,GB1
2258990,GB1
2250155,GB1
2258986,GB1
2258993,GB1
2250157,GB1
2258995,GB1
2258994,GB1
2225732,GB1
2258991,GB1
2258989,GB1
2258976,GB1
2258980,GB1
2258985,GB1
2258984,GB1
2259004,GB1
2250153,GB1
2258988,GB1
2258979,GB1
2258977,GB1
2258982,GB1
2258969,GB1
2258987,GB1
2258966,GB1
2258970,GB1
2258975,GB1
2258974,GB1
2258972,GB1
2250143,GB1
2258971,GB1
2250158,GB1
2258962,GB1
2258958,GB1
2258956,GB1
2258964,GB1
2258963,GB1
2258961,GB1
2258960,GB1
2258983,GB1
2258957,GB1
2258959,GB1
2258978,GB1
2258954,GB1
2258947,GB1
2258992,GB1
2258973,GB1
2258952,GB1
2258951,GB1
2258950,GB1
2258949,GB1
2258948,GB1
2258936,GB1
2258965,GB1
2258946,GB1
2258943,GB1
2258981,GB1
2258940,GB1
2258941,GB1
2258937,GB1
2258939,GB1
2258938,GB1
2258955,GB1
2258953,GB1
2258935,GB1
2258944,GB1
2258945,GB1
2258931,GB1
2258930,GB1
2258928,GB1
2258927,GB1
2258933,GB1
2258929,GB1
2258923,GB1
2258925,GB1
2258919,GB1
2258924,GB1
2258932,GB1
2258921,GB1
2258934,GB1
2258917,GB1
2258916,GB1
2250048,GB1
2258942,GB1
2258968,GB1
2250052,GB1
2250050,GB1
2250047,GB1
2250046,GB1
2250045,GB1
2250044,GB1
2250053,GB1
2250049,GB1
2250051,GB1
2225570,GB1
2258922,GB1
2225569,GB1
2225565,GB1
2225559,GB1
2250042,GB1
2250043,GB1
2225566,GB1
2225564,GB1
2225550,GB1
2225551,GB1
2225563,GB1
2225560,GB1
2225556,GB1
2225557,GB1
2225552,GB1
2225549,GB1
2225562,GB1
2225558,GB1
2225547,GB1
2258920,GB1
2258926,GB1
2225561,GB1
2225554,GB1
2225548,GB1
2225544,GB1
2258918,GB1
2225543,GB1
2225555,GB1
2225528,GB1
2225529,GB1
2225525,GB1
2225545,GB1
2258967,GB1
2225542,GB1
2225541,GB1
2225531,GB1
2225527,GB1
2225536,GB1
2225571,GB1
2225513,GB1
2225540,GB1
2225539,GB1
2225530,GB1
2225537,GB1
2225534,GB1
2225515,GB1
2225524,GB1
2225533,GB1
2225517,GB1
2225511,GB1
2225520,GB1
2225538,GB1
2225526,GB1
2225523,GB1
2225518,GB1
2225512,GB1
2225535,GB1
2225504,GB1
2225502,GB1
2225503,GB1
2225521,GB1
2225532,GB1
2225510,GB1
2225509,GB1
2225508,GB1
2225507,GB1
2225505,GB1
2225506,GB1
2225500,GB1
2225553,GB1
2225487,GB1
2225516,GB1
2238003,GB1
2225499,GB1
2225489,GB1
2225522,GB1
2225492,GB1
2225495,GB1
2225476,GB1
2225488,GB1
2225498,GB1
2225497,GB1
2225546,GB1
2225493,GB1
2225490,GB1
2225477,GB1
2225475,GB1
2225484,GB1
2225483,GB1
2225485,GB1
2225496,GB1
2225514,GB1
2225462,GB1
2225480,GB1
2225478,GB1
2225461,GB1
2225481,GB1
2225469,GB1
2225466,GB1
2225460,GB1
2225471,GB1
2225470,GB1
2225468,GB1
2225467,GB1
2225465,GB1
2225463,GB1
2225464,GB1
2225457,GB1
2225453,GB1
2225519,GB1
2225491,GB1
2225458,GB1
2225472,GB1
2225455,GB1
2225454,GB1
2225479,GB1
2225459,GB1
2225501,GB1
2225456,GB1
2225473,GB1
2225474,GB1
