,CURRENTCLUB
PlayerId,ClubId
213590,1627
28027,130
197307,430
5925,1627
168211,398
127220,398
109550,398
248861,130
167378,398
74354,398
241479,398
199749,398
127224,398
186664,1627
52918,398
199747,398
9091,430
7103,862
213247,589
202245,589
6053,825
216214,114
235948,114
282558,36
144807,398
101425,276
127643,276
38646,276
73932,398
108541,12
176023,12
15342,12
238950,12
296913,820
77655,678
131678,678
5892,678
49681,2381
14971,678
55389,2381
41426,2381
301758,2381
51225,2381
24282,678
38341,2381
28992,2381
287943,2381
241135,276
28775,20
324178,2381
44972,2381
252780,2381
30699,678
21086,2381
244802,1627
165894,12
239568,12
30593,12
67797,2381
198087,12
127197,12
214579,12
165885,12
12142,12
165896,12
206844,12
181417,820
278940,820
198223,820
273951,820
236940,12
210667,820
4316,678
184444,820
57561,10484
138413,820
174792,678
63965,276
143090,276
56603,276
35719,276
199263,276
166608,276
198080,276
145882,820
126597,276
179750,2381
120691,276
6427,276
195622,276
240803,276
22823,276
77720,276
34412,820
240799,276
55382,36
20052,12
3270,36
185787,820
61003,114
136304,114
303595,114
1321,114
180437,114
303597,114
316293,20
270566,20
244706,114
176439,20
6934,20
159045,20
55489,20
53570,825
169874,20
139019,825
3573,114
131209,276
242735,825
107184,825
315412,825
196787,825
272359,825
208692,276
109,825
288832,825
257794,825
85302,825
189690,276
63448,825
38642,276
66788,10484
293652,10484
290212,825
34986,10484
282575,36
246133,589
237479,825
292499,589
126888,589
234314,825
301706,589
92431,589
38339,589
8539,589
264403,589
203415,589
312705,10484
138409,589
17734,589
242792,589
126666,589
61803,862
39917,862
3216,589
140109,862
163999,862
119691,862
315343,825
94094,862
238998,862
55911,862
148585,862
57808,589
168167,862
167811,862
200481,862
112457,862
133876,862
22092,862
125348,862
55001,862
27554,862
242082,862
213322,862
7110,10484
130614,173
8073,449
16955,449
292802,589
43112,862
79654,190
214231,3205
15821,3205
120458,6195
7642,6195
755,589
6448,506
17872,3205
213499,3205
198194,3205
85654,3205
149809,5
202977,5
137612,3205
36785,206
132401,3426
280330,3426
52891,3205
276700,3426
9621,3205
110689,3205
216589,28956
12888,28956
284983,28956
85176,3205
3366,5
15803,28956
59755,2672
70942,2672
5438,2672
39252,2672
176860,2672
56986,3426
266911,2672
14244,2672
121271,3205
29104,2672
27244,2672
140078,28956
74587,28956
144796,2672
192018,2672
22568,28956
18999,2672
96929,28956
24466,28956
76896,2672
132000,28956
81978,28956
58550,28956
41990,28956
27592,28956
213895,28956
174869,28956
207581,28956
239584,506
197746,506
46046,2672
240157,506
75964,7185
160839,7185
256349,7185
190719,7185
96812,7185
285738,7185
96787,7185
28890,7185
26569,7185
239576,506
34325,28956
55800,506
41654,190
33921,7185
26407,190
194129,206
114531,206
33502,7185
198752,206
69643,206
89082,206
40500,449
96633,28956
102621,173
2703,173
38163,190
93739,173
231909,28956
30700,173
34116,173
16420,7185
16675,190
75884,173
135216,206
7629,7185
140653,173
5518,653
229796,173
197478,1025
34839,2671
46472,5724
20857,173
15404,5220
252209,265
37783,2671
22489,865
103558,173
7737,1091
230744,1091
257579,3060
164236,2671
18870,1091
270999,1091
269865,128
234914,128
231165,128
232949,128
5439,128
231192,128
191828,128
13845,128
128361,3060
229657,3060
81655,2778
95737,2778
238504,128
185166,2778
44825,2778
148354,2778
103981,2778
231193,128
7776,128
1083,128
16118,128
80061,6676
28753,6676
318354,6676
182686,3060
22513,2778
162577,6676
309175,6676
266761,6676
224363,6676
88528,6676
318394,6676
19857,128
9743,128
256701,1091
309112,6676
308770,1091
55869,6676
252639,865
203167,1091
22501,865
18224,865
256558,6676
72395,865
7528,6676
284616,5220
191211,5220
75647,5220
87817,5220
51699,1091
260846,865
187916,5220
218084,865
148369,865
257283,5220
16634,5220
242199,5220
237599,5220
34400,5220
141563,5220
51556,128
310721,2671
296394,5220
22516,5724
243007,5724
163325,1025
67537,1025
74253,1025
20833,5220
199177,5220
136747,2671
53477,1025
120235,1025
163291,1025
226195,2671
54714,2671
197494,1025
7133,265
25323,1025
103516,1025
21942,1025
143863,1025
56853,1025
163283,1025
17130,1025
29377,1025
142370,1025
15427,2671
268228,1025
163279,1025
216175,1025
157508,1025
240956,1025
197493,1025
286943,1025
21935,1025
120236,1025
40064,653
231908,653
159778,1025
7978,653
138387,653
236017,653
197678,653
6073,653
20378,1025
134382,1025
136547,653
232086,653
26741,653
213987,653
19138,653
119159,1025
241804,1025
231807,653
22943,653
92701,683
96896,441
227579,1053
183992,1025
195840,653
191320,379
46073,21957
67202,873
71020,1123
222148,762
241742,2079
115898,2079
97738,2079
25633,2079
169801,931
27577,931
28289,2079
110868,931
6106,931
3785,931
193729,1053
3259,931
207009,379
196562,931
160348,931
182912,931
51318,931
124167,2079
67339,931
14523,2079
25395,2079
52042,2079
5352,931
33822,873
56785,873
94655,405
25542,931
129503,931
3220,931
63285,873
3131,873
77559,873
41665,873
244140,873
137150,873
211076,873
35035,2288
4111,2288
212730,873
183837,2288
183966,379
12709,873
134416,379
121238,379
169092,405
61568,379
244338,379
121232,379
3775,379
134426,379
51715,21957
32476,21957
280139,21957
25041,21957
22724,21957
57789,21957
28997,21957
20975,2288
3226,984
5586,21957
141341,984
19721,984
13829,984
181168,379
4070,984
158263,873
35579,441
30365,441
128910,984
222598,441
307306,441
42934,441
16531,441
13783,441
212381,441
13443,984
4086,441
13412,405
256954,441
191680,441
31361,441
75141,441
18324,984
256971,441
6251,441
34206,441
27505,984
60085,441
29038,441
19940,441
24284,441
255686,683
3534,683
199526,1123
26579,441
3804,1123
17217,441
67322,1123
42751,379
242416,29
30982,11
189740,985
143219,31
41361,441
59269,10690
51088,289
21863,289
4219,1123
91563,6996
127349,6993
251829,148
183168,148
27126,6993
214239,16245
54565,6996
97859,16245
66472,16245
91349,16245
323664,16245
13831,6996
121188,16245
10288,16245
84980,16245
272903,16245
58002,16245
28964,16245
93862,16245
49024,16245
121474,281
301736,16245
103600,6996
57894,6996
17206,6996
14939,6996
42550,16245
43938,6996
24006,6996
51141,6996
76071,6996
213287,6996
27236,6996
322955,6993
43297,6996
14178,289
121335,289
230523,6996
16576,289
127774,6996
58266,10690
59266,10690
127992,10690
14934,16245
223027,148
222014,289
64215,6996
104351,4482
321308,4482
34670,10690
236781,441
12064,4482
15164,289
91529,4482
41372,4482
24976,4482
3406,985
15596,4482
122721,11
86643,11
296730,4482
120996,2477
236509,148
18860,6992
58467,2783
55338,6414
160973,6418
24913,6418
30825,338
186614,605
175738,2760
234163,605
7821,605
91528,4482
47426,605
136646,605
282819,605
131171,512
28245,512
55975,339
73798,605
234134,605
71107,512
145484,512
152422,903
62640,903
7930,903
3195,512
256973,903
152419,903
234137,605
62909,903
192505,903
12597,903
61632,903
192496,903
122696,903
90465,4482
307081,169
3788,512
3322,903
259892,512
152420,903
281923,605
282799,605
92109,512
234133,605
34281,605
96788,605
87546,605
66942,903
22972,605
21387,903
43521,903
241199,605
284990,605
165354,605
213022,2760
128362,605
118058,605
187290,2759
164785,2759
74537,2759
74860,2759
234132,605
34563,903
54651,2759
144341,2759
128196,2759
14186,2759
29007,2759
65464,2759
14695,2759
29354,2759
119564,903
14708,2759
69429,2759
12802,2760
193118,2760
107701,2760
12836,2760
223722,2760
19013,6418
47048,6418
41759,6418
87093,2759
37697,2760
14403,6418
5516,6418
31039,6418
26562,6418
114937,338
124915,2759
238905,6418
13000,6418
187800,605
45397,6418
7214,6418
24054,6414
281767,2760
211314,6414
85949,6414
51948,2783
14270,6418
