,CURRENTCLUB
PlayerId,ClubId
52513,6195
248215,20
315910,6195
64952,825
74288,825
35491,6195
94230,825
352653,825
387952,825
380998,825
79014,825
8559,3205
32844,3205
113747,825
35265,3205
213500,3205
79355,20
390225,3205
94757,3205
298581,3205
16402,825
251827,589
90970,825
83902,589
32380,589
292509,825
26014,825
208604,449
58821,825
62941,825
44608,3205
351095,825
43061,825
133100,825
86612,825
122649,825
410363,825
68004,825
255682,169
20903,2441
45646,2441
10,398
6043,398
240617,36
216600,36
292773,36
241701,114
67955,3060
412661,524
291178,524
112578,524
203361,458
125621,2441
280416,458
16651,458
250781,458
51311,825
49521,458
223801,524
349733,524
24523,524
17386,524
270456,524
58816,524
228206,524
7043,6890
184932,524
132154,524
37949,524
338803,114
338055,114
131790,524
139956,524
39003,683
17140,36
75035,683
67967,683
290550,683
240640,36
130108,683
286168,36
21042,36
340448,398
275671,36
13168,36
285439,114
58778,2441
203647,6418
87536,6418
34291,2441
342347,6418
3900,6418
53155,6418
202221,6418
234237,6418
4248,36
342345,6418
369672,1053
223032,1053
38449,6418
47785,1053
15798,2441
139887,6418
120518,6418
16768,524
16433,3060
357187,6418
130452,3060
87245,3060
56796,3060
274848,169
147559,2441
313168,169
203178,169
29073,3060
58697,3060
206837,3060
15118,1053
155960,1053
289085,398
5980,276
289854,190
260828,3426
25750,173
68203,5724
176413,2477
99490,2477
22519,5724
171382,5724
288430,173
93687,173
35607,2740
204145,173
43060,6414
65,1091
144935,6414
206889,6414
2874,265
5588,265
20750,265
25617,265
59150,2740
349107,6414
203136,265
47375,6414
44720,173
297008,6414
54816,6414
269677,6414
316946,6414
369093,6414
49018,6414
59423,6414
117107,6414
59434,6414
42631,6414
92046,6414
390129,1091
63422,2778
111965,1091
15153,1091
14940,1091
95649,6414
42732,6676
52874,6676
277123,6676
8730,6676
34756,6676
87504,6676
3201,265
390126,1091
57814,1091
164914,6676
327861,23611
376227,23611
193270,23611
121030,23611
395068,2740
318910,2740
96331,173
390127,1091
148371,173
59407,6414
20855,3426
144904,3426
402050,6676
51529,3426
89202,3426
51531,6414
22931,190
23592,2778
51166,6676
181795,2778
18100,190
51288,6676
38592,276
59933,2740
268216,190
287836,276
39831,276
209048,276
373359,276
5974,276
2904,276
373358,276
19708,276
198178,2778
243871,276
86083,276
4383,206
75554,206
129971,2553
52192,2553
56609,276
8421,3426
332129,338
285298,865
139190,43
31776,338
171402,511
160354,511
37078,2999
292558,511
72989,511
29414,511
42609,511
223971,43
341087,276
132236,370
326587,1519
37677,370
4216,1519
35761,1519
12804,370
363330,511
285282,1519
335547,1519
291592,1519
193079,1519
171721,1519
205878,1519
93405,1519
12703,511
291352,1519
62180,4482
1368,1519
326585,1519
200202,1519
36524,1519
111431,1519
51661,1519
193306,1519
120975,1519
329385,1519
291171,1519
43260,511
243668,511
249884,1519
147998,4482
10424,1519
205325,370
154219,370
21703,370
57530,511
3564,370
12817,370
42029,43
48020,1519
181135,1519
137154,2553
362559,2553
305977,2553
130729,2553
213114,2553
123539,2553
244255,2553
210854,2553
18093,2553
130841,2553
65692,2553
154949,511
11360,2553
60905,2553
169931,2553
62125,865
435205,2553
50651,865
22499,865
273173,865
12758,2553
131967,865
44465,865
86863,865
22484,865
33926,2999
186589,2999
252713,2999
36756,43
24862,2999
435209,2999
175589,2999
248755,2999
14608,2999
128285,2553
196980,206
318928,206
23989,865
25820,660
22832,206
13490,2999
208405,206
252233,1519
140511,2578
3179,371
14735,2578
24026,16247
38083,1519
321275,16247
198027,969
178349,415
5544,995
65921,1095
290577,417
322397,417
170957,417
45475,417
404821,417
111783,995
51283,995
12149,995
255930,995
64229,415
182813,415
75058,415
329221,415
57348,1095
297238,2999
57466,1095
157494,1095
160910,1095
47653,1095
107641,987
197143,2759
5622,1095
63846,1095
199553,987
130230,987
60767,987
23817,987
126697,995
12934,1095
39514,987
237947,16247
131552,16247
81056,969
183943,16247
25618,16247
36802,371
43309,16247
191189,2578
14792,2578
287964,987
106654,2578
141329,16247
52744,969
12811,2578
161517,2578
36658,2578
159977,2578
12654,987
10025,2578
185465,2759
223263,2578
131977,2759
192557,2759
59471,2759
424071,1095
100750,2759
129063,2759
42611,2759
238647,1158
353205,1158
134414,371
35099,244
368635,367
45846,1162
170982,1162
412828,618
57403,150
30584,150
182903,1041
139449,150
9828,162
7983,897
26443,897
339089,162
241325,1421
295401,40
384667,40
371926,40
306186,40
265573,1420
280795,897
22630,1420
45082,1420
31069,1420
20410,40
111163,1420
126704,1420
233072,150
155972,1420
270410,40
416074,1420
281608,40
18298,1420
80009,1421
386062,40
111005,1421
203516,1421
42506,1420
127213,1421
25758,1421
55042,1421
31101,1421
131589,244
33905,1421
56827,1421
57376,1421
342383,1421
12028,1421
30666,897
7492,897
181373,1421
7881,897
53293,897
14937,897
72201,2448
56815,1162
214467,2448
46220,367
175914,2448
12134,618
250009,618
158071,2448
28307,618
64484,367
58001,367
32622,367
348553,367
343273,367
138655,367
7923,367
71904,367
98827,367
249466,367
377021,150
35536,367
158997,150
120705,367
215653,244
85863,1041
8498,1158
17348,1082
13872,367
127151,1421
289225,244
399506,1421
289194,244
37906,367
65243,714
50346,10690
223781,940
278357,940
208116,368
262554,16795
91448,10690
185593,16795
192347,339
301841,855
86915,855
6980,855
5430,855
85320,714
165004,897
1423,855
274571,855
35245,339
43299,339
101304,339
64344,339
162063,16795
58070,16795
205560,855
49008,339
51030,855
250358,1049
311680,1049
320466,1049
198529,1049
7631,621
271451,131
89618,1533
50570,583
28186,339
289433,583
392276,583
18036,583
74954,1533
238865,1533
158849,1533
333347,1533
255493,1533
37892,1533
268383,13
122582,273
28348,273
356546,13
255496,1533
83256,86
51504,1533
32618,86
35183,24
153634,86
7542,3368
35540,3368
253153,3368
51559,1533
73314,3368
215,1084
193050,42
109436,86
75640,42
297202,42
22837,42
568,18
211395,3368
92453,42
248870,1533
217718,42
1363,33
62915,18
162036,1049
44027,1084
13038,1084
119555,42
17029,33
53350,1084
326416,3368
27448,1084
118492,42
6791,533
42935,3368
63833,533
184133,533
7568,3368
109008,1084
177688,339
132529,533
196834,24
38415,24
43274,24
78553,24
41866,24
235371,42
215784,24
43847,44
31218,44
241970,44
1331,533
178641,44
1586,42
125105,27
218144,289
37788,3
138292,79
257767,4795
284754,984
196770,24
197910,2288
58281,3368
63824,405
3668,1010
44948,1010
177771,1010
35583,1010
9966,1010
69912,1010
162395,1010
223790,1010
37148,405
282821,405
3876,405
251289,405
319817,405
110861,405
197791,405
32617,405
101742,3368
3548,405
244290,873
58379,39
261367,873
243690,405
25553,873
29974,873
265132,405
62638,405
210662,405
49319,405
130216,2288
268527,984
94598,4795
242681,2288
42318,4795
236366,24
119581,79
9619,405
20276,79
170523,79
62800,79
202925,3
19085,873
34543,3
263685,3
22165,405
29152,289
31579,289
209686,41
61591,41
159265,41
94226,41
77708,79
39010,289
245334,873
40612,289
3405,289
7427,41
82008,27
87422,289
87650,39
196570,41
40937,39
55519,39
40429,39
196842,39
3562,289
320889,4795
17689,167
150080,3
26878,167
238541,167
159522,39
258653,289
126638,167
2623,167
265398,167
156781,167
48931,39
44521,79
202838,167
229826,379
224673,1003
156730,167
201570,281
121990,11
181498,281
24001,39
218355,29
247647,180
227185,180
157927,82
263556,31
35571,31
13640,180
243591,31
72873,28095
107218,28095
3620,29
52453,28095
308632,29
183293,985
3614,29
52432,29
242089,29
299328,16
4267,29
132,11
7451,11
387036,985
340194,985
314388,985
383152,1003
33065,1003
261357,31
128906,1003
134424,985
3357,1003
257293,1003
345961,379
75214,28095
3296,1003
3950,379
183286,379
242648,379
242646,379
3120,281
283655,148
44956,2696
294788,2696
217235,2696
258023,379
33894,2696
25742,379
333820,2696
34672,379
242603,379
183281,379
357898,11127
33478,762
147151,4128
126352,121
92381,762
203464,1123
15921,379
46831,379
360754,2698
397856,16704
292835,2698
52406,2698
323200,16704
307301,2698
334437,2698
36914,15
256207,2698
282815,2698
234607,2698
281879,2698
4746,15
334434,2698
227752,3725
73681,2698
42513,1123
24589,1123
43193,1123
203127,1123
39280,232
3995,1123
48550,232
122592,2698
45395,1123
260677,232
198516,1123
104606,232
38005,3725
14219,15
74088,1123
214251,121
315161,121
170624,4128
12127,1123
260265,121
304606,4128
266582,4128
44084,4128
312533,762
121388,1123
25850,16704
15380,11127
100188,11127
52956,11127
434598,11127
17273,762
190358,11127
80562,964
9786,4128
49327,1123
262731,964
217024,964
181190,964
15368,964
311713,964
29246,11127
6150,762
383600,11127
214262,121
279052,964
10642,762
33108,1304
288245,1268
55210,403
134497,2439
54170,631
49485,2700
16810,631
326460,1269
226146,133
280125,1269
398726,2439
263934,2439
263941,2439
242417,512
36233,2439
12516,512
107617,512
59930,2439
275939,192
376709,133
43247,192
335541,512
328354,192
29936,192
79192,192
241163,2700
170856,1269
101785,192
67715,192
21590,192
31111,192
129103,2700
15378,2439
171820,192
47152,2439
19917,192
285597,2439
278958,192
231447,192
398728,2439
398725,2439
278678,2439
263961,2439
48706,2439
129587,192
54312,2439
336565,2439
255440,2439
99007,2439
104331,2700
336566,2439
320829,1269
226024,1269
13099,192
336563,2439
37538,133
71099,133
57333,133
206745,1269
48526,2439
398731,2439
82939,133
122173,133
273542,133
340970,133
220976,133
320825,133
273051,133
126770,133
247595,403
312486,133
320839,1269
29324,403
186858,403
272844,403
34375,403
24819,403
84260,403
13074,403
6403,1304
272699,1304
271670,1304
232499,1304
19061,403
326337,1268
120034,133
55396,2700
81497,403
280472,1269
45543,1268
71123,133
23492,1268
12115,467
130674,467
215092,306
23996,932
125250,1090
28815,1090
269553,601
207931,2700
122694,3508
232015,317
45140,3508
30667,317
147396,317
261106,317
118014,3508
315280,234
4315,610
414657,3508
15597,2439
6861,3508
45166,3508
32387,601
89030,601
321558,601
110082,601
143223,968
127191,3508
240057,968
15796,968
46121,968
63469,200
237632,234
335244,200
128304,968
56317,798
17320,798
63334,798
49640,798
273001,200
241487,200
266781,200
383208,968
124889,798
34785,306
215095,306
275385,467
38963,467
187185,200
374698,467
29903,467
241502,1090
61758,968
51969,467
215134,2410
347036,499
182398,172
111964,498
176514,354
224947,58
66660,58
191830,499
181791,354
18949,475
34991,2861
295327,2861
159748,968
78569,2861
79972,2861
72734,2861
75062,2861
292665,2861
130119,475
237829,475
123639,475
126669,475
22339,1184
26797,1184
402884,475
19230,475
314463,475
411119,475
226060,2282
231642,475
111011,475
372380,475
156618,58
385839,475
121577,2282
270414,2282
35813,2282
261154,317
140715,354
22340,2282
254280,354
111027,601
238474,354
50388,354
120788,2282
302473,3057
265568,3057
253125,475
123921,354
60602,3057
9643,172
285998,3057
166470,475
325499,172
398807,3057
170604,2410
226542,498
250526,354
199301,498
99637,498
381832,2410
182878,172
69401,498
58228,2990
30306,2990
333386,29228
75298,979
84970,7179
51164,2410
47931,157
228038,1465
140205,2282
191813,1465
212413,1301
431131,2995
333913,982
346918,982
72860,982
401636,982
234752,982
114831,1083
329768,982
345800,1301
138139,982
380764,1301
14137,1301
58364,1301
256711,1301
297467,1075
57943,1075
292281,1075
107667,1075
260543,1083
258933,982
256691,1301
213539,1465
128955,1465
26239,1465
351808,1465
34951,1465
129128,1301
13122,2995
361699,2995
70724,2995
322811,1465
425372,2995
170498,7179
212595,475
124670,7179
191820,7179
216259,7179
293523,7179
24713,7179
225144,982
4678,7179
76076,7179
385794,2995
159100,979
72486,979
34570,7179
27135,7179
25106,979
128063,7179
34007,979
326564,29228
193321,29228
200796,157
143556,29228
209154,7179
14282,979
329653,1301
13483,29228
179350,2990
58455,2990
58268,2990
384575,2990
22723,2990
35455,979
72283,2990
101506,2990
90294,2990
350073,2990
381003,2990
34091,2990
126203,2990
343488,2990
398850,1083
121209,979
398841,1083
168955,29228
231306,1083
398847,1083
197650,29228
58988,2990
217921,1083
345535,1083
398849,1083
198496,29228
123252,336
77066,336
27346,336
253045,2503
240178,1083
398833,1083
57226,29228
257676,2503
189445,2457
182991,8024
379188,294
141210,2990
41102,28643
31245,28643
265586,28643
18952,28643
107548,28643
99973,202
208095,202
363009,1083
160172,28643
158419,2457
124888,202
29456,202
14511,2457
37950,2457
37388,2457
139339,2457
138642,2457
405191,28643
13972,2457
288506,8024
333117,8024
37954,8024
34006,8024
29855,28643
99859,8024
207955,28643
184948,2503
236960,8024
135173,2503
150846,2503
212982,2503
185937,2503
161093,2503
51574,2503
112611,2503
183385,2503
143622,2503
349952,2503
125125,8024
175247,2503
236541,1085
153033,1085
108820,1085
276596,1085
65542,1085
34706,1085
267967,1085
45025,2503
41208,2503
25211,1085
259014,1085
83757,1085
313968,2503
67804,1085
285656,28643
91384,1085
162427,8024
116390,2457
53847,336
263557,336
74600,336
49560,2451
225143,2425
277788,987
162039,131
251914,987
140126,982
42952,4795
103064,105
195782,105
80031,4795
59054,4795
187496,4795
192265,4795
59636,16247
80672,105
78950,4795
56435,4795
279657,4795
296689,4795
43257,4795
119120,4795
154147,4795
17025,4795
248349,4795
89010,16247
187622,16247
108709,16247
146725,16247
35852,105
42622,16247
217259,4795
381137,105
39102,105
57895,105
381132,105
220656,105
1792,105
49737,105
56711,4795
4691,105
381134,105
55512,105
40456,105
381128,105
31216,4795
317753,105
31123,105
35383,105
54846,105
171376,105
33078,105
11765,105
427291,4795
84993,105
31173,105
25366,1132
139337,982
45623,1132
77920,105
385920,1132
85928,1132
158700,1132
128828,1132
3630,1132
328940,982
44324,982
463152,982
116792,4795
31027,982
97808,4482
447507,982
477185,4482
509428,4482
278857,4482
448869,4482
322912,4482
452578,4482
357785,982
196826,4795
410213,4482
448870,4482
45343,4482
483717,4482
331216,4482
401884,4482
322952,4482
204560,4482
540580,4482
511121,4482
524021,4482
91533,4482
366445,4482
1986,167
58933,339
467247,339
24043,339
288857,339
204040,339
59826,4482
54031,339
57987,339
193096,987
3292,1132
181763,105
176406,339
9956,987
216564,987
319298,987
12673,987
13799,987
143851,987
138235,987
12665,987
177394,987
309041,987
458581,987
33485,987
376592,2451
13493,987
223628,2451
74777,2451
95639,2451
277785,987
280536,2451
16726,105
141650,2451
96148,2451
501614,4482
347695,2451
11365,2451
402463,2451
274061,2451
27980,2451
110865,2451
160920,2451
191870,2451
129973,2451
346572,2451
340611,2451
12772,2451
162567,2425
24634,1132
353843,2425
290935,2425
72643,2425
131180,2451
336891,2425
449306,2425
14263,2425
216131,2420
139606,2425
270648,2420
184310,2420
258369,2420
280513,2451
491764,3691
15593,3691
168186,167
94926,3691
264718,2425
187042,3691
211740,3691
403204,3691
144542,3691
214770,131
325754,3691
48510,3691
491765,3691
380986,3691
222119,2425
69913,3691
476275,3691
484466,3691
144547,3691
418425,2425
464258,3691
87262,3691
81959,3691
476598,3691
113575,3691
47459,3691
491763,3691
343602,336
484465,3691
234279,3349
40326,3349
239850,3349
292749,3349
85763,3349
45045,3349
292780,3349
336992,3349
138649,3349
339474,3349
385588,3349
35617,3349
190553,7179
131250,7179
111061,7179
41234,7179
340538,7179
175601,7179
124668,7179
33735,3349
385593,3349
54291,3691
379464,3691
281344,3691
280528,2451
235634,2420
19736,105
33507,1132
367195,1132
227314,982
119028,7179
104509,336
1791,167
380445,7179
292722,3349
118309,7179
183614,6
125032,5219
271861,7179
45673,6
140686,589
417103,7179
383430,19771
30834,2079
92904,6
330875,20
112669,20
383623,23611
489345,11282
294142,11282
405042,18303
265267,4482
137609,11282
77853,8838
131257,8838
204178,20
121011,8838
248756,11282
52082,11282
53302,2760
121378,2760
189513,2760
62565,2760
450829,2760
285036,2760
131756,11282
330872,20
63665,2760
228912,2760
244253,2760
364831,8838
917428,8838
255635,8838
426509,8838
26936,20
289282,8838
58883,8838
382903,8838
59948,8838
58389,8838
330030,8838
395076,8838
120991,8838
462781,11282
244220,2760
2583,2760
266340,11282
196240,2760
43055,11282
132694,2079
45527,2760
51713,2079
45566,2079
462857,2079
46064,2079
37340,2079
209072,2079
73161,2079
324350,2079
16230,2079
304225,2079
25684,2079
40417,2079
182811,2079
58064,2079
98102,19771
72237,19771
98133,19771
13862,19771
34372,19771
18929,2079
88239,19771
49733,19771
455289,19771
391338,19771
55255,19771
391337,19771
187115,18303
58958,18303
213852,589
5648,589
106306,589
55270,589
285000,589
123750,589
214459,2079
397604,2079
304746,589
91956,6
335070,6
49719,6
62374,6
291697,6
95329,18303
51660,6
210846,2079
114143,6
383652,6
68443,6
462855,2079
388380,6
291701,6
252091,6
293985,6
159906,6
203309,6
349622,6
379687,6
69014,6
336085,6
269510,6
68803,6
52063,2079
166587,23611
177280,23611
325221,23611
238199,6
243679,6
322383,23611
418927,5219
164470,2079
477799,5219
398429,5219
242672,5219
398709,5219
224736,23611
234327,5219
174822,6
393155,5219
118645,5219
90768,23611
152846,2079
15432,2079
255525,2079
214838,6
45860,5219
53258,8838
91366,8838
86074,4083
102750,4083
92880,4083
199597,4083
195199,4083
318058,4083
285091,4083
139169,4083
6160,252
169052,252
91854,2293
84845,252
371089,252
110309,252
37598,252
39912,2293
28252,2293
156553,2293
226271,2293
7253,2293
222330,749
5878,749
3713,749
61786,749
163690,749
22749,749
385379,749
302486,749
28031,749
163062,749
356010,749
17735,4083
455059,126
251099,126
238218,126
21887,252
229857,126
52269,126
80697,126
337456,126
278648,126
419597,126
483335,126
94296,126
263903,126
134629,126
110856,126
184243,126
217656,126
137610,126
298417,126
390112,749
252800,524
86106,524
57354,749
108636,126
111667,524
43246,524
59059,524
57255,524
511677,524
386155,10484
34527,524
7309,524
45613,524
2587,524
348676,252
374735,10484
167423,10484
22285,749
348040,10484
56640,10484
134209,10484
136515,10484
445804,10484
218352,524
410833,524
247189,524
369283,524
56921,749
396899,10484
485578,126
9847,5219
240723,5219
391049,749
5470,6
171411,11282
389950,524
15762,11282
395539,2921
58534,524
337310,862
89318,8838
33789,1506
77603,1506
489613,1506
416242,1506
462770,1506
130518,524
112942,1506
383453,1506
23888,1506
419366,524
47517,1506
16893,862
245134,862
394345,862
58567,1506
51350,1506
130369,2921
17249,2921
130498,2921
239810,1506
410832,524
287690,862
392550,2921
292333,2921
251086,820
83501,820
298576,820
470244,820
198736,820
340994,820
235043,820
94211,820
390732,6574
180137,820
341054,6574
303182,2921
368373,6574
396768,6574
340264,6574
21770,862
355540,6574
93918,820
81421,820
226404,820
72687,820
342817,2921
21782,2921
364635,2921
22093,2921
382571,2921
28833,2921
96758,2921
157167,2921
165893,2921
224874,820
261494,820
51655,820
410565,820
82743,6574
124911,6574
77910,2921
141654,2921
38582,862
165381,2921
28828,2921
267101,2921
45593,3205
5958,12
391409,12
35703,1025
5946,2921
52897,506
400931,2921
26456,430
340446,12
16589,2944
432085,449
46477,410
22249,800
297444,410
415042,6195
275685,3205
386824,410
397228,410
386829,410
293964,2944
2148,2944
271584,2944
97562,2944
87052,6195
388376,2944
170994,410
169905,2944
336080,2944
37722,2944
351506,430
6033,410
291765,2944
398025,430
398031,430
19998,430
511790,2944
386576,2921
340435,12
354910,5
55895,5
124203,5
60710,2944
339866,1025
41994,1025
85066,1025
395123,1025
395086,1025
291856,430
76387,800
22139,800
455291,3205
156713,3205
43242,3205
16137,1025
44709,506
160512,3205
222838,3205
265902,3205
385400,449
67839,3205
85405,3205
72128,3205
126767,3205
340968,141
176265,141
286406,141
45427,141
340967,141
55366,3205
455290,3205
460663,3205
357802,398
377042,398
55957,398
394309,398
391421,398
339566,398
136605,1038
6793,1038
422851,1038
372134,1038
381284,398
41914,800
130149,47
5962,1038
381356,47
309784,47
227938,47
329497,47
85554,47
231907,47
460246,47
342913,47
136513,47
354146,47
206430,47
196003,47
169642,47
18350,47
21756,800
410070,2944
4217,3060
9836,3060
182695,47
377043,46
35537,46
254341,3060
39118,46
25841,3060
87211,3060
342762,47
105842,3060
30428,3060
116872,3060
73786,410
18927,3060
78940,21957
343149,21957
207487,6418
391472,6418
16682,6418
284970,6418
12872,6418
52212,6890
382529,6890
142414,6890
287240,6676
240639,6890
24379,6890
295342,6890
7401,6890
96734,6890
68746,6676
444848,6676
40795,6676
357192,6676
79285,6418
444849,6676
124662,6676
342787,6676
462784,6676
78496,6676
67544,128
75441,128
45812,128
459818,128
328965,128
355749,128
25719,21957
334046,6676
58152,21957
324360,6676
242653,3060
268590,46
62247,6418
242673,3060
402647,21957
89480,2671
138199,2671
92141,1390
302478,1390
189157,1091
45865,683
208905,458
283602,265
296453,4603
217839,128
354717,6992
91549,6992
37287,683
371318,6992
59083,2740
463872,6992
106632,2740
176341,36
477182,2740
348255,36
97576,2740
319679,36
242279,2740
211734,6992
373251,6992
367024,6992
59024,6992
270878,4603
279094,4603
77847,2740
101823,4603
96457,4603
261071,4603
286945,4603
28179,2740
206808,4603
462748,4603
140155,4603
106982,4603
139881,4603
46236,4603
295655,4603
295389,4603
18945,4603
49928,4603
27138,4603
312181,4603
58346,4603
326204,458
244927,458
156128,2740
23197,458
392514,458
252767,458
336959,458
198037,4603
28827,458
22217,458
297064,458
336956,458
429099,2740
84622,458
108119,458
47544,458
375299,458
291408,458
255322,458
6438,265
22542,265
176998,36
16744,265
38305,265
29016,265
58018,265
143045,683
9698,265
35934,458
277335,458
307315,1091
292621,1091
254659,1091
415859,6992
123497,1091
267497,1091
292350,1091
355751,1091
365247,1091
261058,1091
37278,1091
162551,1390
18958,683
396359,1390
395596,1390
130907,2740
403718,1390
459758,1390
371320,1390
43411,1390
355759,2671
355748,2671
315310,2671
225852,36
381585,2740
420849,1390
355492,6992
324521,6992
215596,6992
168856,6418
71981,21957
44573,2414
171806,2414
161244,2414
23250,2414
14960,2414
114196,2414
50478,2414
157907,2414
355517,369
15243,5817
182200,5817
443322,5817
27565,5817
102271,5817
405718,5817
40022,5817
22838,369
9775,338
397544,416
162569,416
450715,2477
405197,416
61952,338
153538,2414
179481,169
28436,169
192409,169
284954,169
267533,169
395595,169
453483,2477
206693,169
387743,369
338068,114
207576,114
336248,114
371319,2477
448782,2477
338792,114
220432,5724
355092,114
118998,114
295443,169
61423,369
338783,114
55322,114
53299,2477
250160,2477
357338,2477
130763,169
471251,114
42345,416
100980,5724
312752,416
440869,416
99106,369
506202,5724
88269,369
221875,369
373278,369
199305,2414
106320,2414
141704,2414
309847,416
373898,1390
337316,416
100507,683
7520,683
448537,2477
282280,2477
343713,2441
38746,2441
65986,2441
265072,416
232088,2778
301883,1053
88647,1177
470738,1177
113084,2672
374281,1053
69905,1177
20843,1177
94288,1177
94292,1177
48895,1177
75422,1053
62451,1053
164145,1053
331282,1177
340736,2778
455241,1177
62402,1177
345597,2778
132244,2672
390103,2672
26162,2672
18947,2672
13905,2672
284740,2672
445256,2672
159041,2672
46260,2441
118324,2672
402925,2441
4241,2441
208446,2441
272785,2477
39256,265
12883,1091
293315,2778
24633,660
257406,2778
44689,2672
345587,190
21382,511
60551,2672
277428,865
203414,190
91423,865
97343,1063
277069,370
255731,370
118074,206
15052,206
187097,3426
227901,865
193885,43
303115,206
44717,1177
331836,2578
191258,2578
248588,2578
61881,1177
39710,2578
475604,43
229263,43
126643,206
242280,43
399448,2578
43745,43
70592,43
11757,206
216896,370
74762,865
148374,865
283232,865
41653,865
20852,3426
148345,3426
97241,3426
214250,3426
22487,3426
57727,3426
68980,3426
96778,3426
41191,3426
103428,3426
20865,3426
27612,1063
23584,206
92741,1063
37527,1063
79989,1063
12682,370
217684,1063
15039,1063
255172,1063
265671,1063
102142,1063
433600,1063
469797,1063
302810,1063
204136,1063
75637,1063
61867,1063
229032,1063
163515,370
181061,1063
232068,511
61666,511
303157,206
295040,511
95949,511
95986,511
294225,511
272708,511
315965,511
321161,511
322812,511
295026,511
13932,511
89643,511
189186,43
28809,370
169573,43
209582,43
319303,2578
41726,2578
12569,43
291065,2578
22176,1063
248958,511
95990,1053
323957,511
115028,2999
73013,41
241307,41
224499,41
130616,43
123189,39
297241,124
292269,533
315256,18
89718,533
227084,533
237113,23826
293063,23826
117478,86
196822,23826
1277,86
89542,86
168678,18
169416,124
117476,86
99463,124
4277,124
48254,124
196836,39
217593,39
196791,39
90489,86
188010,18
51168,44
93818,44
25812,41
124352,41
226009,41
172168,44
293744,124
281804,2999
245960,2999
121312,2999
330173,2999
13583,124
191792,2999
77569,2999
229268,2999
120985,2999
14736,2999
37700,2999
273824,86
161072,533
105691,2999
101954,2999
153628,86
16474,44
223431,43
46111,124
297270,2999
244930,3
189073,3
61583,989
63482,3
95808,2759
261943,24
49655,984
463695,989
255703,989
493607,989
270027,41
463694,989
265176,33
265159,33
27800,33
168063,3
237732,82
416621,989
227967,82
94559,23826
189283,82
38440,82
8317,82
158055,82
365383,2553
158049,82
207580,82
63223,2553
13979,82
177185,2553
399264,2553
216718,2553
236499,2553
170514,15
257536,2553
307277,2553
307419,2553
450706,2553
359205,2553
356120,2553
387667,2553
158786,2553
134422,2553
284762,2553
353108,82
48373,2553
13431,2553
196717,2553
139278,86
111900,16
104220,16
247400,2553
61711,984
297260,2553
25248,984
18331,24
403577,2553
170522,24
201698,2553
315437,24
59082,24
51972,15
261406,15
84781,2759
91887,2759
227078,15
3825,2759
12674,2759
252088,15
328791,24
37171,984
94192,82
39377,2553
398398,989
30456,984
149265,15
36808,2759
33963,641
93698,60
237444,15
292812,173
318224,3008
240086,371
401043,2759
238988,29
176850,678
39532,289
3256,15
77329,289
121223,873
273773,873
90354,2759
244125,873
34409,873
464738,873
289846,379
141655,873
295073,873
248045,289
4321,289
255639,10690
313753,10690
307781,289
483975,10690
218140,289
364828,289
31720,289
357958,289
179451,289
36866,289
108878,289
257968,289
320213,289
244309,873
3540,289
49734,289
488,2288
320228,289
167268,289
320220,873
42413,29
28336,873
258311,379
28260,379
242652,379
356195,3008
29390,678
93145,3008
257533,3008
53359,3008
251058,3008
61834,3008
459873,3008
457129,3008
163738,3008
9988,3008
18227,3008
456111,3008
31886,3008
9500,3008
335440,678
16733,678
13561,371
225242,371
208773,371
280978,371
122011,3008
3202,371
241916,3008
124507,60
168741,60
68183,3008
39908,641
4063,641
280982,371
509268,3008
74768,641
73067,641
13796,641
167393,641
59558,641
48950,641
83430,641
16660,641
50552,641
77544,641
163531,641
62947,641
38266,60
39471,641
7589,641
9508,3008
345960,379
268185,29
21333,29
163530,641
453306,3008
42411,873
78966,641
13465,3008
43393,10690
118535,3008
330699,27
7476,27
2219,27
396284,985
314140,641
48898,2696
341993,1003
455012,3729
175824,14589
15072,11127
235755,11127
428119,11127
123485,11127
264595,11127
103221,11127
136167,4128
229970,1003
372670,31
258310,512
91450,4128
279454,31
200782,31
128912,31
181316,4128
5278,31
500102,4128
105207,4128
3160,631
25889,4128
322798,11127
214715,4128
362791,11127
51892,3729
93056,3729
89399,3729
300129,3729
106617,3729
89400,3729
350049,3729
24994,3729
98492,3729
61954,3729
16947,1003
62379,2696
435272,2696
180836,2696
68978,2696
176623,2696
15077,3729
63158,3729
73335,14589
98557,14589
148081,2696
74872,14589
25921,14589
78725,2696
126145,3729
146015,14589
36812,14589
127307,14589
172977,14589
90222,14589
172975,14589
60653,14589
2514,985
289791,985
351168,14589
15666,3729
31741,27
289844,985
66020,14589
119223,3729
85314,631
15078,3729
597,2696
74985,3729
3146,512
52514,3725
345739,148
61960,14589
228370,11
356569,180
456530,468
142513,498
13292,968
422769,1435
499604,1010
15102,3725
476532,1010
37941,1010
314341,11
479944,1010
66518,1010
69001,1010
178608,11127
64711,11127
225716,1435
107427,1010
433983,1435
111197,1435
355685,1435
21482,1435
101657,1435
84162,1435
422768,1435
186790,1435
199380,1435
370130,1435
360667,1159
5345,1159
23952,1159
75645,1159
270646,1159
127098,1159
39924,1159
242724,932
9646,932
207518,932
479942,1010
263294,1159
162672,1435
1327,1159
224001,1435
374040,1159
272617,1159
129561,1159
110902,1435
146281,1435
173674,1435
252689,968
61809,1435
80877,968
127437,968
302314,1159
52807,968
130418,968
