PlayerId,PlayerName,Citizenship,Date_of_birth,Position,Foot,Height_in_cm,Highest_market_value_in_gbp
16733,Lee Baxter,Scotland,1976-06-17,Goalkeeper,,186,90000
13561,Kris Commons,Scotland,1983-08-30,Attack,Left,168,3150000
225242,Mark Hill,Scotland,1998-07-10,Midfield,Right,180,68000
208773,Connor Mcmanus,Scotland,1996-02-29,Midfield,Right,186,45000
280978,Fiacre Kelleher,Ireland,1996-03-10,Defender,Right,190,45000
122011,Markus Henriksen,Norway,1992-07-25,Midfield,Right,187,4500000
3202,Kolo Toure,Cote d'Ivoire,1981-03-19,Defender,Right,178,19800000
241916,Brian Lenihan,Ireland,1994-06-08,Defender,Right,187,90000
124507,Fabian Menig,Germany,1994-02-26,Defender,Both,187,270000
168741,Lucas Hufnagel,Georgia,1994-01-29,Midfield,Right,183,450000
68183,David Meyler,Ireland,1989-05-29,Midfield,Right,189,2700000
39908,Rudy Gestede,Benin,1988-10-10,Attack,Right,193,6300000
4063,Stewart Downing,England,1984-07-22,Midfield,Left,180,14400000
280982,Eoghan Oconnell,Ireland,1995-08-13,Defender,Right,187,180000
509268,Daniel Batty,England,1997-12-10,Midfield,Right,178,900000
74768,Adlene Guedioura,Algeria,1985-11-12,Midfield,Right,178,2700000
73067,Adam Clayton,England,1989-01-14,Midfield,Right,175,3150000
13796,Grant Leadbitter,England,1986-01-07,Midfield,Right,177,1800000
167393,James Husband,England,1994-01-03,Defender,Left,179,900000
59558,Emilio Nsue,Equatorial Guinea,1989-09-30,Defender,Right,181,3150000
48950,Jordan Rhodes,Scotland,1990-02-05,Attack,Right,185,9000000
83430,Albert Adomah,Ghana,1987-12-13,Attack,Right,185,4500000
16660,Alex Baptiste,England,1986-01-31,Defender,Right,180,1800000
50552,Dimitrios Konstantopoulos,Greece,1978-11-29,Goalkeeper,Left,193,900000
77544,George Friend,England,1987-10-19,Defender,Left,188,1350000
163531,Connor Ripley,England,1993-02-13,Goalkeeper,Right,191,225000
62947,Tomas Mejias,Spain,1989-01-30,Goalkeeper,Right,195,720000
38266,Marc Torrejon,Spain,1986-02-18,Defender,Right,187,7200000
39471,Brad Guzan,United States,1984-09-09,Goalkeeper,Left,193,4500000
7589,Victor Valdes,Spain,1982-01-14,Goalkeeper,Right,183,18000000
9508,Shaun Maloney,Scotland,1983-01-24,Attack,Right,171,3830000
345960,Alex Pike,England,1997-02-08,Defender,Right,180,
268185,Joe Williams,England,1996-12-08,Midfield,Right,185,900000
21333,Aiden Mcgeady,Ireland,1986-04-04,Attack,Both,180,8100000
163530,Adam Reach,England,1993-02-03,Midfield,Left,185,4050000
453306,Josh Clackstone,England,1996-09-18,Defender,Right,0,
42411,Fraizer Campbell,England,1987-09-13,Attack,Right,172,3600000
78966,Daniel Ayala,Spain,1990-11-07,Defender,Right,190,3600000
13465,Tom Huddlestone,England,1986-12-28,Midfield,Right,188,10800000
43393,Grygoriy Yarmash,Ukraine,1985-01-04,Defender,Right,174,2160000
118535,Will Keane,Ireland,1993-01-11,Attack,Right,188,1350000
330699,Raphael Obermair,Philippines,1996-04-01,Defender,Right,182,315000
7476,Xabi Alonso,Spain,1981-11-25,Midfield,Right,183,31500000
2219,Philipp Lahm,Germany,1983-11-11,Defender,,0,27000000
396284,Zak Dearnley,England,1998-09-28,Attack,Right,180,
314140,Dael Fry,England,1997-08-30,Defender,Right,190,6300000
48898,Berat Sadik,Finland,1986-09-14,Attack,Both,192,900000
341993,Elliott Moore,England,1997-03-16,Defender,Right,196,810000
455012,Roman Izotov,Russia,1996-06-22,Attack,Both,186,180000
175824,Elguja Lobjanidze,Georgia,1992-09-17,Attack,Right,193,540000
15072,Roman Pavlyuchenko,Russia,1981-12-15,Attack,Right,188,11700000
235755,Georgi Zhukov,Kazakhstan,1994-11-19,Midfield,Right,172,1350000
428119,Rezo Gavtadze,Georgia,1995-07-11,Midfield,Right,177,90000
123485,Ivan Chudin,Russia,1990-03-07,Midfield,Right,182,360000
264595,Denis Fomin,Russia,1996-05-03,Defender,Right,186,360000
103221,Aleksandr Novikov,Russia,1984-10-12,Defender,Right,185,540000
136167,Chuma Anene,Norway,1993-05-14,Attack,Right,189,450000
229970,Tom Lawrence,Wales,1994-01-13,Attack,Right,175,5400000
372670,Paulinho,Portugal,1997-12-25,Attack,Right,174,90000
258310,Joel Taylor,England,1996-03-24,Defender,Left,180,
91450,Oleg Mishchenko,Ukraine,1989-10-10,Attack,Left,180,810000
279454,Mj Williams,Wales,1995-11-06,Midfield,Right,187,90000
200782,Kevin Stewart,Jamaica,1993-09-07,Midfield,,182,4050000
128912,Andre Wisdom,England,1993-05-09,Defender,Right,186,5400000
181316,David Khurtsidze,Russia,1993-07-04,Attack,Left,185,225000
5278,Alexander Manninger,Austria,1977-06-04,Goalkeeper,,0,4050000
500102,Rustam Vazitdinov,Russia,1997-08-16,Midfield,Right,172,135000
105207,David Dzakhov,Russia,1988-10-06,Midfield,Right,187,270000
3160,John Terry,England,1980-12-07,Defender,Right,187,31500000
25889,Ivan Cherenchikov,Russia,1984-08-25,Defender,Right,187,2250000
322798,Radovan Pankov,Serbia,1995-08-05,Defender,Right,185,1620000
214715,Branko Jovicic,Serbia,1993-03-18,Midfield,Right,179,1800000
362791,Aleksandr Shubin,Russia,1996-12-27,Goalkeeper,Right,187,113000
51892,Andrey Gorbanets,Russia,1985-08-24,Attack,Right,178,1800000
93056,Emmanuel Frimpong,Ghana,1992-01-10,Midfield,Right,175,1800000
89399,Ivan Ershov,Russia,1979-05-22,Defender,Right,173,68000
300129,Andrius Rukas,Russia,1996-09-04,Defender,Right,192,180000
106617,Dmitri Aydov,Russia,1982-04-10,Defender,Left,185,360000
89400,Igor Kaleshin,Russia,1983-05-29,Defender,Right,189,225000
350049,Maksim Mashnev,Russia,1993-01-12,Midfield,Right,172,270000
24994,Roman Gerus,Russia,1980-09-14,Goalkeeper,Right,192,585000
98492,Aleksandr Stolyarenko,Russia,1991-01-18,Defender,Right,187,360000
61954,Aleksandr Gorbatyuk,Russia,1985-04-21,Defender,Right,186,135000
16947,Marcin Wasilewski,Poland,1980-06-09,Defender,Right,186,2700000
62379,Cristian Pasquato,Italy,1989-07-20,Attack,Right,173,1620000
435272,Nikolay Kiritsa,Russia,1996-12-04,Midfield,Right,180,45000
180836,Sandro Tsveiba,Russia,1993-09-05,Midfield,Right,184,360000
68978,Milan Rodic,Serbia,1991-04-02,Defender,Left,185,3150000
176623,Vyacheslav Zinkov,Russia,1993-05-26,Midfield,Right,187,270000
15077,Aleksandr Sheshukov,Russia,1983-04-15,Defender,Right,181,3060000
63158,Vladislav Ryzhkov,Russia,1990-02-28,Attack,Right,174,765000
73335,Anzor Sanaia,Russia,1989-05-22,Attack,Right,187,360000
98557,Artem Deljkin,Russia,1990-08-02,Attack,Right,181,540000
148081,Maksim Pavlov,Russia,1989-05-26,Goalkeeper,Right,192,135000
74872,Michal Duris,Slovakia,1988-06-01,Attack,Right,183,1800000
25921,Roman Vorobjov,Russia,1984-03-24,Attack,Both,175,2250000
78725,Aleksey Kontsedalov,Russia,1990-07-24,Defender,Right,186,540000
126145,Vadim Steklov,Russia,1985-03-24,Midfield,Right,175,360000
146015,Igor Koronov,Russia,1986-04-06,Midfield,Right,177,810000
36812,Blagoy Georgiev,Bulgaria,1981-12-21,Midfield,,0,1800000
127307,Maksim Batov,Russia,1992-06-05,Midfield,Right,179,315000
172977,Marat Shogenov,Russia,1984-08-26,Midfield,Right,183,405000
90222,Aleksandr Katsalapov,Russia,1986-04-05,Defender,Right,181,360000
172975,Vladimir Parnyakov,Russia,1984-01-30,Midfield,Right,174,360000
60653,Dmitri Abakumov,Russia,1989-07-08,Goalkeeper,Left,184,720000
2514,Bastian Schweinsteiger,Germany,1984-08-01,Midfield,Right,183,36000000
289791,Kieran Ohara,Ireland,1996-04-22,Goalkeeper,Right,191,
351168,Yacouba Bamba,Cote d'Ivoire,1991-11-30,Attack,Left,180,360000
15666,Oleg Vlasov,Russia,1984-12-10,Attack,Left,177,450000
31741,Nicolas Feldhahn,Germany,1986-08-14,Defender,Right,189,450000
289844,Josh Harrop,England,1995-12-15,Attack,Right,175,720000
66020,Stanislav Dragun,Belarus,1988-06-04,Midfield,Right,182,1620000
119223,Ruslan Mukhametshin,Russia,1981-10-29,Attack,Right,183,900000
85314,Oscar,Brazil,1991-09-09,Attack,Right,179,36000000
15078,Dmitri A Smirnov,Russia,1980-08-13,Midfield,Right,196,315000
597,Aleksandr Hleb,Belarus,1981-05-01,Attack,Right,185,17100000
74985,Lukas Tesak,Slovakia,1985-03-08,Defender,Left,176,855000
3146,Shay Given,Ireland,1976-04-20,Goalkeeper,Right,185,9000000
52514,Pedro Ken,Brazil,1987-03-20,Midfield,Right,182,1800000
345739,Shayon Harrison,England,1997-07-13,Attack,Left,183,315000
61960,Pavel Nekhaychik,Belarus,1988-07-15,Attack,Right,180,2700000
228370,Gedion Zelalem,United States,1997-01-26,Midfield,Right,180,270000
356569,Olufela Olomola,England,1997-09-05,Attack,Right,170,
456530,Cyril Chevreuil,France,1990-01-13,Attack,Right,188,68000
142513,Gary Martin,England,1990-10-10,Attack,Right,180,270000
13292,Benjamin De Ceulaer,Belgium,1983-12-19,Attack,Right,174,2700000
422769,Givan Werkhoven,Netherlands,1997-09-27,Attack,Right,192,180000
499604,Dion Pereira,England,1999-03-25,Attack,Left,180,405000
15102,Igor Lebedenko,Russia,1983-05-27,Attack,Right,182,2069999
476532,Andrew Eleftheriou,England,1997-11-08,Defender,Right,172,
37941,Camilo Zuniga,Colombia,1985-12-14,Defender,Right,172,11700000
314341,Chris Willock,England,1998-01-31,Attack,Right,178,1800000
479944,Charlie Rowan,England,1997-12-14,Defender,Right,192,
66518,Rene Gilmartin,Ireland,1987-05-31,Goalkeeper,,197,225000
69001,Giedrius Arlauskis,Lithuania,1987-12-01,Goalkeeper,Left,191,2250000
178608,Jean Jacques Bougouhi,Cote d'Ivoire,1992-06-12,Attack,Right,177,270000
64711,Pablo Fontanello,Argentina,1984-09-26,Defender,Both,193,1980000
225716,Sam Hendriks,Netherlands,1995-01-25,Attack,Right,180,360000
107427,Ikechi Anya,Scotland,1988-01-03,Midfield,Both,166,3600000
433983,Patrick Maneschijn,Netherlands,1997-01-04,Attack,Right,175,68000
111197,Jerry Van Wolfgang,Netherlands,1992-03-12,Midfield,Right,172,270000
355685,Orhan DÅ¾epar,Netherlands,1996-06-13,Midfield,Left,192,270000
21482,Tom Daemen,Netherlands,1985-06-17,Midfield,Right,181,360000
101657,Joey Suk,Netherlands,1989-07-08,Midfield,Right,185,1350000
84162,Marcel Ritzmaier,Austria,1993-04-22,Midfield,Left,180,1350000
422768,Thijs Dekker,Netherlands,1997-01-31,Midfield,Right,180,45000
186790,Sinan Bytyqi,Kosovo,1995-01-15,Attack,Right,185,450000
199380,Kenny Teijsse,Netherlands,1992-07-19,Midfield,Left,182,270000
370130,Dennis Hettinga,Netherlands,1995-09-12,Defender,Right,187,90000
360667,Yann Mabella,Congo,1996-02-22,Attack,Right,183,270000
5345,Youssouf Hadji,Morocco,1980-02-25,Attack,Right,183,4950000
23952,Christophe Mandanne,France,1985-02-07,Attack,Right,172,1800000
75645,Maurice Dale,France,1985-07-12,Attack,Right,185,900000
270646,Alexis Busin,France,1995-09-07,Attack,Right,176,630000
127098,Anthony Koura,Burkina Faso,1993-05-06,Attack,Right,173,1130000
39924,Anthony Robic,France,1986-03-05,Attack,Right,181,900000
242724,Ezekiel Henty,Nigeria,1993-05-13,Attack,Right,185,1350000
9646,Dmitri Loskov,Russia,1974-02-12,Attack,Both,178,4950000
207518,Miroslav Lobantsev,Russia,1995-05-27,Goalkeeper,Right,190,540000
479942,Brandon Mason,England,1997-09-30,Defender,Left,173,180000
