"ClubID","ClubName","FullClubName","MarketValue","SquadSize","AverageAge","ForeignersNumber","ForeignersPercentage","NationalTeamPlayers","StadiumName","StadiumSeats","NetTransferRecord","CoachName"
"15","bayer-04-leverkusen","Bayer 04 Leverkusen","390.65","27","24.9","20","74.1","14","BayArena","30210","Â£-11.03m","Gerardo Seoane"
"167","fc-augsburg","Fc Augsburg","84.33","28","26","17","60.7","9","WWK ARENA","30660","Â£-10.14m","Markus Weinzierl"
"969","montpellier-hsc","Montpellier Hsc","99.86","26","25.3","11","42.3","5","Stade de la Mosson","32939","+Â£22.32m","Olivier Dall'Oglio"
"39","1-fsv-mainz-05","1 Fsv Mainz 05","110.79","25","25.2","13","52","6","Mewa Arena","33305","+Â£10.04m","Bo Svensson"
"2715","rfc-seraing","Rfc Seraing","12.98","31","24","18","58.1","6","Stade du Paray","6744","+-0","Manuel Nogueira"
"826","rc-lens","Rc Lens","130.28","23","25.8","14","60.9","11","Stade Bollaert-Delelis","38223","Â£-2.34m","Franck Haise"
"1241","livingston-fc","Livingston Fc","7.9","31","26.7","15","48.4","0","Tony Macaroni Arena","9512","+-0","David Martindale"
"475","vv-st-truiden","Vv St Truiden","16.31","27","25.4","15","55.6","3","Stayen","14600","+Â£4.26m","Bernd Hollerbach"
"27","fc-bayern-munchen","Fc Bayern Munchen","692.55","26","25.9","15","57.7","20","Allianz Arena","75024","Â£-48.15m","Julian Nagelsmann"
"520","cercle-brugge","Cercle Brugge","21.02","24","23.9","14","58.3","6","Jan-Breydel-Stadion","29062","Â£-630Th.","Dominik Thalhammer"
"2727","oud-heverlee-leuven","Oud Heverlee Leuven","21.29","28","24.9","14","50","9","King Power at Den Dreef Stadion","10020","+Â£2.70m","Marc Brys"
"41274","beerschot-v-a-","Beerschot V A ","13.41","26","25.9","15","57.7","2","Olympisch Stadion","12771","Â£-2.01m","Greg Vanderidt"
"601","kv-kortrijk","Kv Kortrijk","22.37","30","24.7","24","80","9","Guldensporenstadion","9399","+Â£198Th.","Karim Belhocine"
"354","kv-mechelen","Kv Mechelen","29.88","27","24.9","10","37","2","AFAS Stadion","16672","+Â£7.11m","Wouter Vrancken"
"172","rsc-charleroi","Rsc Charleroi","33.17","28","22.7","16","57.1","9","Stade du Pays de Charleroi","15000","+Â£7.74m","Edward Still"
"3057","standard-luttich","Standard Luttich","35.82","27","24.1","14","51.9","7","Maurice Dufrasne Stadion","27670","+Â£21.65m","Will Still"
"16","borussia-dortmund","Borussia Dortmund","484.79","34","24.6","19","55.9","16","SIGNAL IDUNA PARK","81365","+Â£56.93m","Matthias Kleinsteiber"
"3948","royale-union-saint-gilloise","Royale Union Saint Gilloise","48.71","26","24.9","19","73.1","8","Stade Joseph MariÃ«n","8000","+Â£5.26m","Felice MazzÃ¹"
"1096","royal-antwerpen-fc","Royal Antwerpen Fc","53.6","33","25.5","19","57.6","4","De Bosuil","16144","Â£-24.80m","Brian Priske"
"58","rsc-anderlecht","Rsc Anderlecht","91.22","28","23.4","13","46.4","6","Lotto Park","21500","+Â£7.61m","Vincent Kompany"
"273","fc-stade-rennes","Fc Stade Rennes","215.82","26","24.1","10","38.5","9","Roazhon Park","29778","Â£-30.47m","Bruno GÃ©nÃ©sio"
"2282","fc-brugge","Fc Brugge","143.87","29","25.2","19","65.5","13","Jan-Breydel-Stadion","29062","Â£-19.32m","Alfred Schreuder"
"367","rayo-vallecano","Rayo Vallecano","54.81","23","28.1","12","52.2","4","Campo de FÃºtbol de Vallecas","15105","Â£-1.89m","Andoni Iraola"
"2687","fc-cadiz","Fc Cadiz","56.07","26","29.1","10","38.5","6","Nuevo Mirandilla","21094","Â£-5.49m","Sergio"
"18","borussia-monchengladbach","Borussia Monchengladbach","183.78","26","26","13","50","11","Stadion im Borussia-Park","54022","Â£-7.47m","Adi HÃ¼tter"
"2861","kv-oostende","Kv Oostende","22.32","27","23.5","17","63","5","Diaz Arena","8432","+Â£5.22m","Yves Vanderhaeghe"
"3368","ud-levante","Ud Levante","66.51","28","28.5","9","32.1","4","Ciutat de ValÃ¨ncia","25354","Â£-1.13m","Mehdi Nafti"
"23826","rasenballsport-leipzig","Rasenballsport Leipzig","404.28","25","24.8","19","76","16","Red Bull Arena","47069","+Â£5.29m","Domenico Tedesco"
"1531","fc-elche","Fc Elche","59.04","24","29.5","10","41.7","4","Manuel MartÃ­nez Valero","33732","Â£-7.20m","Francisco RodrÃ­guez"
"940","celta-vigo","Celta Vigo","101.88","21","28","9","42.9","5","BalaÃ­dos","29000","Â£-6.50m","Eduardo Coudet"
"1184","krc-genk","Krc Genk","92.16","24","23.2","17","70.8","13","Cegeka Arena","24956","Â£-3.33m","Bernd Storck"
"331","ca-osasuna","Ca Osasuna","94.14","24","28.2","4","16.7","1","El Sadar","23576","Â£-7.83m","Jagoba Arrasate"
"621","athletic-bilbao","Athletic Bilbao","197.37","25","26.6","0","","2","San MamÃ©s","53289","+-0","Marcelino"
"1245","kas-eupen","Kas Eupen","16.22","31","25","22","71","5","Kehrweg-Stadion","8331","+Â£4.23m","Michael Valkanis"
"3709","fc-getafe","Fc Getafe","141.93","25","26.5","13","52","9","Coliseum Alfonso PÃ©rez","16800","+Â£4.50m","Quique SÃ¡nchez Flores"
"368","fc-sevilla","Fc Sevilla","325.17","26","28.3","19","73.1","14","RamÃ³n SÃ¡nchez-PizjuÃ¡n","43883","Â£-11.70m","Julen Lopetegui"
"681","real-sociedad-san-sebastian","Real Sociedad San Sebastian","327.78","28","26.2","7","25","6","Reale Arena","39500","Â£-2.25m","Imanol Alguacil"
"237","rcd-mallorca","Rcd Mallorca","58.95","27","27.8","13","48.1","7","Son Moix","20500","Â£-900Th.","Javier Aguirre"
"16795","fc-granada","Fc Granada","80.46","29","27.8","13","44.8","4","Nuevo Los CÃ¡rmenes","19336","Â£-12.11m","Aitor Karanka"
"131","fc-barcelona","Fc Barcelona","563.4","30","25.8","15","50","20","Camp Nou","99354","+Â£675Th.","Xavi"
"418","real-madrid","Real Madrid","675","26","27.5","18","69.2","15","Santiago BernabÃ©u","81044","+Â£42.30m","Carlo Ancelotti"
"150","real-betis-sevilla","Real Betis Sevilla","224.1","27","29.1","11","40.7","9","Benito VillamarÃ­n","59378","+Â£9.45m","Manuel Pellegrini"
"235","rkc-waalwijk","Rkc Waalwijk","10.4","28","25.5","15","53.6","4","Mandemakers Stadion","7508","+Â£180Th.","Joseph Oosting"
"1435","go-ahead-eagles-deventer","Go Ahead Eagles Deventer","10.78","29","24.4","11","37.9","1","De Adelaarshorst","9909","+Â£1.71m","Kees van Wonderen"
"3508","sv-zulte-waregem","Sv Zulte Waregem","16.63","29","25.3","14","48.3","3","Regenboogstadion","12250","Â£-180Th.","Timmy Simons"
"467","nec-nijmegen","Nec Nijmegen","12.11","25","25.4","13","52","3","Goffertstadion","12500","+-0","Rogier Meijer"
